club,matches_played,wins,draws,losses,goals_for,goals_against,goals_diff,points,league,season
Chievo Verona,38,12,7,19,43,61,-18,43,seriea,2016
Bologna,38,11,8,19,40,58,-18,41,seriea,2016
Genoa,38,9,9,20,38,64,-26,36,seriea,2016
Crotone,38,9,7,22,34,58,-24,34,seriea,2016
FC Empoli,38,8,8,22,29,61,-32,32,seriea,2016
US Palermo,38,6,8,24,33,77,-44,26,seriea,2016
Pescara,38,3,9,26,37,81,-44,18,seriea,2016
Juventus,38,30,5,3,86,24,62,95,seriea,2017
Napoli,38,28,7,3,77,29,48,91,seriea,2017
AS Roma,38,23,8,7,61,28,33,77,seriea,2017
Inter,38,20,12,6,66,30,36,72,seriea,2017
Lazio,38,21,9,8,89,49,40,72,seriea,2017
AC Milan,38,18,10,10,56,42,14,64,seriea,2017
Atalanta BC,38,16,12,10,57,39,18,60,seriea,2017
Fiorentina,38,16,9,13,54,46,8,57,seriea,2017
Torino,38,13,15,10,54,46,8,54,seriea,2017
Sampdoria,38,16,6,16,56,60,-4,54,seriea,2017
Sassuolo,38,11,10,17,29,59,-30,43,seriea,2017
Genoa,38,11,8,19,33,43,-10,41,seriea,2017
Chievo Verona,38,10,10,18,36,59,-23,40,seriea,2017
Udinese,38,12,4,22,48,63,-15,40,seriea,2017
Bologna,38,11,6,21,40,52,-12,39,seriea,2017
Cagliari,38,11,6,21,33,61,-28,39,seriea,2017
SPAL,38,8,14,16,39,59,-20,38,seriea,2017
Crotone,38,9,8,21,40,66,-26,35,seriea,2017
Hellas Verona,38,7,4,27,30,78,-48,25,seriea,2017
Benevento,38,6,3,29,33,84,-51,21,seriea,2017
Juventus,38,28,6,4,70,30,40,90,seriea,2018
Napoli,38,24,7,7,74,36,38,79,seriea,2018
Atalanta BC,38,20,9,9,77,46,31,69,seriea,2018
Inter,38,20,9,9,57,33,24,69,seriea,2018
AC Milan,38,19,11,8,55,36,19,68,seriea,2018
AS Roma,38,18,12,8,66,48,18,66,seriea,2018
Torino,38,16,15,7,52,37,15,63,seriea,2018
Lazio,38,17,8,13,56,46,10,59,seriea,2018
Sampdoria,38,15,8,15,60,51,9,53,seriea,2018
Bologna,38,11,11,16,48,56,-8,44,seriea,2018
Sassuolo,38,9,16,13,53,60,-7,43,seriea,2018
Udinese,38,11,10,17,39,53,-14,43,seriea,2018
SPAL,38,11,9,18,44,56,-12,42,seriea,2018
Parma,38,10,11,17,41,61,-20,41,seriea,2018
Cagliari,38,10,11,17,36,54,-18,41,seriea,2018
Fiorentina,38,8,17,13,47,45,2,41,seriea,2018
Genoa,38,8,14,16,39,57,-18,38,seriea,2018
FC Empoli,38,10,8,20,51,70,-19,38,seriea,2018
Frosinone,38,5,10,23,29,69,-40,25,seriea,2018
Chievo Verona,38,2,14,22,25,75,-50,17,seriea,2018
Juventus,38,26,5,7,76,43,33,83,seriea,2019
Inter,38,24,10,4,81,36,45,82,seriea,2019
Atalanta BC,38,23,9,6,98,48,50,78,seriea,2019
Lazio,38,24,6,8,79,42,37,78,seriea,2019
AS Roma,38,21,7,10,77,51,26,70,seriea,2019
AC Milan,38,19,9,10,63,46,17,66,seriea,2019
Napoli,38,18,8,12,61,50,11,62,seriea,2019
Sassuolo,38,14,9,15,69,63,6,51,seriea,2019
Hellas Verona,38,12,13,13,47,51,-4,49,seriea,2019
Fiorentina,38,12,13,13,51,48,3,49,seriea,2019
Parma,38,14,7,17,56,57,-1,49,seriea,2019
Bologna,38,12,11,15,52,65,-13,47,seriea,2019
Udinese,38,12,9,17,37,51,-14,45,seriea,2019
Cagliari,38,11,12,15,52,56,-4,45,seriea,2019
Sampdoria,38,12,6,20,48,65,-17,42,seriea,2019
Torino,38,11,7,20,46,68,-22,40,seriea,2019
Genoa,38,10,9,19,47,73,-26,39,seriea,2019
Lecce,38,9,8,21,52,85,-33,35,seriea,2019
Brescia,38,6,7,25,35,79,-44,25,seriea,2019
SPAL,38,5,5,28,27,77,-50,20,seriea,2019
Inter,38,28,7,3,89,35,54,91,seriea,2020
AC Milan,38,24,7,7,74,41,33,79,seriea,2020
Atalanta BC,38,23,9,6,90,47,43,78,seriea,2020
Juventus,38,23,9,6,77,38,39,78,seriea,2020
Napoli,38,24,5,9,86,41,45,77,seriea,2020
Lazio,38,21,5,12,61,55,6,68,seriea,2020
AS Roma,38,18,8,12,68,58,10,62,seriea,2020
Sassuolo,38,17,11,10,64,56,8,62,seriea,2020
Sampdoria,38,15,7,16,52,54,-2,52,seriea,2020
Hellas Verona,38,11,12,15,46,48,-2,45,seriea,2020
Genoa,38,10,12,16,47,58,-11,42,seriea,2020
Bologna,38,10,11,17,51,65,-14,41,seriea,2020
Fiorentina,38,9,13,16,47,59,-12,40,seriea,2020
Udinese,38,10,10,18,42,58,-16,40,seriea,2020
Spezia Calcio,38,9,12,17,52,72,-20,39,seriea,2020
Cagliari,38,9,10,19,43,59,-16,37,seriea,2020
Torino,38,7,16,15,50,69,-19,37,seriea,2020
Benevento,38,7,12,19,40,75,-35,33,seriea,2020
Crotone,38,6,5,27,45,92,-47,23,seriea,2020
Parma,38,3,11,24,39,83,-44,20,seriea,2020
AC Milan,38,26,8,4,69,31,38,86,seriea,2021
Inter,38,25,9,4,84,32,52,84,seriea,2021
Napoli,38,24,7,7,74,31,43,79,seriea,2021
Juventus,38,20,10,8,57,37,20,70,seriea,2021
Lazio,38,18,10,10,77,58,19,64,seriea,2021
AS Roma,38,18,9,11,59,43,16,63,seriea,2021
Fiorentina,38,19,5,14,59,51,8,62,seriea,2021
Atalanta BC,38,16,11,11,65,48,17,59,seriea,2021
Hellas Verona,38,14,11,13,65,59,6,53,seriea,2021
Torino,38,13,11,14,46,41,5,50,seriea,2021
Sassuolo,38,13,11,14,64,66,-2,50,seriea,2021
Udinese,38,11,14,13,61,58,3,47,seriea,2021
Bologna,38,12,10,16,44,55,-11,46,seriea,2021
FC Empoli,38,10,11,17,50,70,-20,41,seriea,2021
Sampdoria,38,10,6,22,46,63,-17,36,seriea,2021
Spezia Calcio,38,10,6,22,41,71,-30,36,seriea,2021
Salernitana,38,7,10,21,33,78,-45,31,seriea,2021
Cagliari,38,6,12,20,34,68,-34,30,seriea,2021
Genoa,38,4,16,18,27,60,-33,28,seriea,2021
Venezia,38,6,9,23,34,69,-35,27,seriea,2021
Napoli,38,28,6,4,77,28,49,90,seriea,2022
Lazio,38,22,8,8,60,30,30,74,seriea,2022
Inter,38,23,3,12,71,42,29,72,seriea,2022
AC Milan,38,20,10,8,64,43,21,70,seriea,2022
Atalanta BC,38,19,7,12,66,48,18,64,seriea,2022
AS Roma,38,18,9,11,50,38,12,63,seriea,2022
Juventus,38,22,6,10,56,33,23,62,seriea,2022
Fiorentina,38,15,11,12,53,43,10,56,seriea,2022
Bologna,38,14,12,12,53,49,4,54,seriea,2022
Torino,38,14,11,13,42,41,1,53,seriea,2022
Monza,38,14,10,14,48,52,-4,52,seriea,2022
Udinese,38,11,13,14,47,48,-1,46,seriea,2022
Sassuolo,38,12,9,17,47,61,-14,45,seriea,2022
FC Empoli,38,10,13,15,37,49,-12,43,seriea,2022
Salernitana,38,9,15,14,48,62,-14,42,seriea,2022
Lecce,38,8,12,18,33,46,-13,36,seriea,2022
Spezia Calcio,38,6,13,19,31,62,-31,31,seriea,2022
Hellas Verona,38,7,10,21,31,59,-28,31,seriea,2022
Cremonese,38,5,12,21,36,69,-33,27,seriea,2022
Sampdoria,38,3,10,25,24,71,-47,19,seriea,2022
Inter,38,29,7,2,89,22,67,94,seriea,2023
AC Milan,38,22,9,7,76,49,27,75,seriea,2023
Juventus,38,19,14,5,54,31,23,71,seriea,2023
Atalanta BC,38,21,6,11,72,42,30,69,seriea,2023
Bologna,38,18,14,6,54,32,22,68,seriea,2023
AS Roma,38,18,9,11,65,46,19,63,seriea,2023
Lazio,38,18,7,13,49,39,10,61,seriea,2023
Fiorentina,38,17,9,12,61,46,15,60,seriea,2023
Torino,38,13,14,11,36,36,0,53,seriea,2023
Napoli,38,13,14,11,55,48,7,53,seriea,2023
Genoa,38,12,13,13,45,45,0,49,seriea,2023
Monza,38,11,12,15,39,51,-12,45,seriea,2023
Hellas Verona,38,9,11,18,38,51,-13,38,seriea,2023
Lecce,38,8,14,16,32,54,-22,38,seriea,2023
Udinese,38,6,19,13,37,53,-16,37,seriea,2023
Cagliari,38,8,12,18,42,68,-26,36,seriea,2023
FC Empoli,38,9,9,20,29,54,-25,36,seriea,2023
Frosinone,38,8,11,19,44,69,-25,35,seriea,2023
Sassuolo,38,7,9,22,43,75,-32,30,seriea,2023
Salernitana,38,2,11,25,32,81,-49,17,seriea,2023
Inter,32,21,8,3,72,31,41,71,seriea,2024
Napoli,31,19,8,4,48,25,23,65,seriea,2024
Atalanta BC,32,18,7,7,65,30,35,61,seriea,2024
Juventus,32,15,14,3,49,30,19,59,seriea,2024
Bologna,32,15,12,5,51,37,14,57,seriea,2024
Lazio,32,16,8,8,53,43,10,56,seriea,2024
AS Roma,32,15,9,8,47,32,15,54,seriea,2024
Fiorentina,32,15,8,9,49,32,17,53,seriea,2024
AC Milan,32,14,9,9,51,37,14,51,seriea,2024
Torino,32,9,13,10,36,37,-1,40,seriea,2024
Udinese,32,11,7,14,36,46,-10,40,seriea,2024
Genoa,32,9,12,11,29,38,-9,39,seriea,2024
Como,32,9,9,14,40,48,-8,36,seriea,2024
Hellas Verona,32,9,5,18,30,59,-29,32,seriea,2024
Cagliari,32,7,9,16,32,47,-15,30,seriea,2024
Parma,32,5,13,14,37,51,-14,28,seriea,2024
Lecce,32,6,8,18,23,52,-29,26,seriea,2024
Venezia,32,4,12,16,25,44,-19,24,seriea,2024
FC Empoli,31,4,12,15,24,47,-23,24,seriea,2024
Monza,32,2,9,21,25,56,-31,15,seriea,2024
Paris SG,38,24,11,3,83,36,47,83,ligue1,2014
Olympique Lyon,38,22,9,7,72,33,39,75,ligue1,2014
Monaco,38,20,11,7,51,26,25,71,ligue1,2014
Marseille,38,21,6,11,76,42,34,69,ligue1,2014
Saint-Étienne,38,19,12,7,51,30,21,69,ligue1,2014
G. Bordeaux,38,17,12,9,47,44,3,63,ligue1,2014
Montpellier,38,16,8,14,46,39,7,56,ligue1,2014
LOSC Lille,38,16,8,14,43,42,1,56,ligue1,2014
Stade Rennais,38,13,11,14,35,42,-7,50,ligue1,2014
Guingamp,38,15,4,19,41,55,-14,49,ligue1,2014
OGC Nice,38,13,9,16,44,53,-9,48,ligue1,2014
SC Bastia,38,12,11,15,37,46,-9,47,ligue1,2014
SM Caen,38,12,10,16,54,55,-1,46,ligue1,2014
FC Nantes,38,11,12,15,29,40,-11,45,ligue1,2014
Stade Reims,38,12,8,18,47,66,-19,44,ligue1,2014
FC Lorient,38,12,7,19,44,50,-6,43,ligue1,2014
Toulouse,38,12,6,20,43,64,-21,42,ligue1,2014
Évian,38,11,4,23,41,62,-21,37,ligue1,2014
FC Metz,38,7,9,22,31,61,-30,30,ligue1,2014
Lens,38,7,8,23,32,61,-29,29,ligue1,2014
Paris SG,38,30,6,2,102,19,83,96,ligue1,2015
Olympique Lyon,38,19,8,11,67,43,24,65,ligue1,2015
Monaco,38,17,14,7,57,50,7,65,ligue1,2015
OGC Nice,38,18,9,11,58,41,17,63,ligue1,2015
LOSC Lille,38,15,15,8,39,27,12,60,ligue1,2015
Saint-Étienne,38,17,7,14,42,37,5,58,ligue1,2015
SM Caen,38,16,6,16,39,52,-13,54,ligue1,2015
Stade Rennais,38,13,13,12,52,54,-2,52,ligue1,2015
Angers SCO,38,13,11,14,40,38,2,50,ligue1,2015
SC Bastia,38,14,8,16,36,42,-6,50,ligue1,2015
G. Bordeaux,38,12,14,12,50,57,-7,50,ligue1,2015
Montpellier,38,14,7,17,49,47,2,49,ligue1,2015
Marseille,38,10,18,10,48,42,6,48,ligue1,2015
FC Nantes,38,12,12,14,33,44,-11,48,ligue1,2015
FC Lorient,38,11,13,14,47,58,-11,46,ligue1,2015
Guingamp,38,11,11,16,47,56,-9,44,ligue1,2015
Toulouse,38,9,13,16,45,55,-10,40,ligue1,2015
Stade Reims,38,10,9,19,44,57,-13,39,ligue1,2015
G. Ajaccio,38,8,13,17,37,58,-21,37,ligue1,2015
Troyes,38,3,9,26,28,83,-55,18,ligue1,2015
Monaco,38,30,5,3,107,31,76,95,ligue1,2016
Paris SG,38,27,6,5,83,27,56,87,ligue1,2016
OGC Nice,38,22,12,4,63,36,27,78,ligue1,2016
Olympique Lyon,38,20,5,13,77,48,29,67,ligue1,2016
Marseille,38,17,11,10,57,41,16,62,ligue1,2016
G. Bordeaux,38,15,14,9,53,43,10,59,ligue1,2016
FC Nantes,38,14,9,15,40,54,-14,51,ligue1,2016
Saint-Étienne,38,12,14,12,41,42,-1,50,ligue1,2016
Stade Rennais,38,12,14,12,36,42,-6,50,ligue1,2016
Guingamp,38,14,8,16,46,53,-7,50,ligue1,2016
LOSC Lille,38,13,7,18,40,47,-7,46,ligue1,2016
Angers SCO,38,13,7,18,40,49,-9,46,ligue1,2016
Toulouse,38,10,14,14,37,41,-4,44,ligue1,2016
FC Metz,38,11,10,17,39,72,-33,43,ligue1,2016
Montpellier,38,10,9,19,48,66,-18,39,ligue1,2016
Dijon,38,8,13,17,46,58,-12,37,ligue1,2016
SM Caen,38,10,7,21,36,65,-29,37,ligue1,2016
FC Lorient,38,10,6,22,44,70,-26,36,ligue1,2016
AS Nancy,38,9,8,21,29,52,-23,35,ligue1,2016
SC Bastia,38,8,11,19,29,54,-25,34,ligue1,2016
Paris SG,38,29,6,3,108,29,79,93,ligue1,2017
Monaco,38,24,8,6,85,45,40,80,ligue1,2017
Olympique Lyon,38,23,9,6,87,43,44,78,ligue1,2017
Marseille,38,22,11,5,80,47,33,77,ligue1,2017
Stade Rennais,38,16,10,12,50,44,6,58,ligue1,2017
G. Bordeaux,38,16,7,15,53,48,5,55,ligue1,2017
Saint-Étienne,38,15,10,13,47,50,-3,55,ligue1,2017
OGC Nice,38,15,9,14,53,52,1,54,ligue1,2017
FC Nantes,38,14,10,14,36,41,-5,52,ligue1,2017
Montpellier,38,11,18,9,36,33,3,51,ligue1,2017
Dijon,38,13,9,16,55,73,-18,48,ligue1,2017
Guingamp,38,12,11,15,48,59,-11,47,ligue1,2017
Amiens SC,38,12,9,17,37,42,-5,45,ligue1,2017
Angers SCO,38,9,14,15,42,52,-10,41,ligue1,2017
R. Strasbourg,38,9,11,18,44,67,-23,38,ligue1,2017
SM Caen,38,10,8,20,27,52,-25,38,ligue1,2017
LOSC Lille,38,10,8,20,41,67,-26,38,ligue1,2017
Toulouse,38,9,10,19,38,54,-16,37,ligue1,2017
Troyes,38,9,6,23,32,59,-27,33,ligue1,2017
FC Metz,38,6,8,24,34,76,-42,26,ligue1,2017
Paris SG,38,29,4,5,105,35,70,91,ligue1,2018
LOSC Lille,38,22,9,7,68,33,35,75,ligue1,2018
Olympique Lyon,38,21,9,8,70,47,23,72,ligue1,2018
Saint-Étienne,38,19,9,10,59,41,18,66,ligue1,2018
Marseille,38,18,7,13,60,52,8,61,ligue1,2018
Montpellier,38,15,14,9,53,42,11,59,ligue1,2018
OGC Nice,38,15,11,12,30,35,-5,56,ligue1,2018
Stade Reims,38,13,16,9,39,42,-3,55,ligue1,2018
Nîmes Olympique,38,15,8,15,57,58,-1,53,ligue1,2018
Stade Rennais,38,13,13,12,55,52,3,52,ligue1,2018
R. Strasbourg,38,11,16,11,58,48,10,49,ligue1,2018
FC Nantes,38,13,9,16,48,48,0,48,ligue1,2018
Angers SCO,38,10,16,12,44,49,-5,46,ligue1,2018
G. Bordeaux,38,10,11,17,34,42,-8,41,ligue1,2018
Amiens SC,38,9,11,18,31,52,-21,38,ligue1,2018
Toulouse,38,8,14,16,35,57,-22,38,ligue1,2018
Monaco,38,8,12,18,38,57,-19,36,ligue1,2018
Dijon,38,9,7,22,31,60,-29,34,ligue1,2018
SM Caen,38,7,12,19,29,54,-25,33,ligue1,2018
Guingamp,38,5,12,21,28,68,-40,27,ligue1,2018
Paris SG,27,22,2,3,75,24,51,68,ligue1,2019
Marseille,28,16,8,4,41,29,12,56,ligue1,2019
Stade Rennais,28,15,5,8,38,24,14,50,ligue1,2019
LOSC Lille,28,15,4,9,35,27,8,49,ligue1,2019
Stade Reims,28,10,11,7,26,21,5,41,ligue1,2019
OGC Nice,28,11,8,9,41,38,3,41,ligue1,2019
Olympique Lyon,28,11,7,10,42,27,15,40,ligue1,2019
Montpellier,28,11,7,10,35,34,1,40,ligue1,2019
Monaco,28,11,7,10,44,44,0,40,ligue1,2019
R. Strasbourg,27,11,5,11,32,32,0,38,ligue1,2019
Angers SCO,28,11,6,11,28,33,-5,39,ligue1,2019
G. Bordeaux,28,9,10,9,40,34,6,37,ligue1,2019
FC Nantes,28,11,4,13,28,31,-3,37,ligue1,2019
Stade Brestois,28,8,10,10,34,37,-3,34,ligue1,2019
FC Metz,28,8,10,10,27,35,-8,34,ligue1,2019
Dijon,28,7,9,12,27,37,-10,30,ligue1,2019
Saint-Étienne,28,8,6,14,29,45,-16,30,ligue1,2019
Nîmes Olympique,28,7,6,15,29,44,-15,27,ligue1,2019
Amiens SC,28,4,11,13,31,50,-19,23,ligue1,2019
Toulouse,28,3,4,21,22,58,-36,13,ligue1,2019
LOSC Lille,38,24,11,3,64,23,41,83,ligue1,2020
Paris SG,38,26,4,8,86,28,58,82,ligue1,2020
Monaco,38,24,6,8,76,42,34,78,ligue1,2020
Olympique Lyon,38,22,10,6,81,43,38,76,ligue1,2020
Marseille,38,16,12,10,54,47,7,60,ligue1,2020
Stade Rennais,38,16,10,12,52,40,12,58,ligue1,2020
Lens,38,15,12,11,55,54,1,57,ligue1,2020
Montpellier,38,14,12,12,60,62,-2,54,ligue1,2020
OGC Nice,38,15,7,16,50,53,-3,52,ligue1,2020
FC Metz,38,12,11,15,44,48,-4,47,ligue1,2020
Saint-Étienne,38,12,10,16,42,54,-12,46,ligue1,2020
G. Bordeaux,38,13,6,19,42,56,-14,45,ligue1,2020
Angers SCO,38,12,8,18,40,58,-18,44,ligue1,2020
Stade Reims,38,9,15,14,42,50,-8,42,ligue1,2020
R. Strasbourg,38,11,9,18,49,58,-9,42,ligue1,2020
FC Lorient,38,11,9,18,50,68,-18,42,ligue1,2020
Stade Brestois,38,11,8,19,50,66,-16,41,ligue1,2020
FC Nantes,38,9,13,16,47,55,-8,40,ligue1,2020
Nîmes Olympique,38,9,8,21,40,71,-31,35,ligue1,2020
Dijon,38,4,9,25,25,73,-48,21,ligue1,2020
Paris SG,38,26,8,4,90,36,54,86,ligue1,2021
Marseille,38,21,8,9,63,38,25,71,ligue1,2021
Monaco,38,20,9,9,65,40,25,69,ligue1,2021
Stade Rennais,38,20,6,12,82,40,42,66,ligue1,2021
OGC Nice,38,20,7,11,52,36,16,66,ligue1,2021
R. Strasbourg,38,17,12,9,60,43,17,63,ligue1,2021
Lens,38,17,11,10,62,48,14,62,ligue1,2021
Olympique Lyon,38,17,11,10,66,51,15,61,ligue1,2021
FC Nantes,38,15,10,13,55,48,7,55,ligue1,2021
LOSC Lille,38,14,13,11,48,48,0,55,ligue1,2021
Stade Brestois,38,13,9,16,49,57,-8,48,ligue1,2021
Stade Reims,38,11,13,14,43,44,-1,46,ligue1,2021
Montpellier,38,12,7,19,49,61,-12,43,ligue1,2021
Angers SCO,38,10,11,17,44,55,-11,41,ligue1,2021
Troyes,38,9,11,18,37,53,-16,38,ligue1,2021
FC Lorient,38,8,12,18,35,63,-28,36,ligue1,2021
Clermont Foot,38,9,9,20,38,69,-31,36,ligue1,2021
Saint-Étienne,38,7,11,20,42,77,-35,32,ligue1,2021
FC Metz,38,6,13,19,35,69,-34,31,ligue1,2021
G. Bordeaux,38,6,13,19,52,91,-39,31,ligue1,2021
Paris SG,38,27,4,7,89,40,49,85,ligue1,2022
Lens,38,25,9,4,68,29,39,84,ligue1,2022
Marseille,38,22,7,9,67,40,27,73,ligue1,2022
Stade Rennais,38,21,5,12,69,39,30,68,ligue1,2022
LOSC Lille,38,19,10,9,65,44,21,67,ligue1,2022
Monaco,38,19,8,11,70,58,12,65,ligue1,2022
Olympique Lyon,38,18,8,12,65,47,18,62,ligue1,2022
Clermont Foot,38,17,8,13,45,49,-4,59,ligue1,2022
OGC Nice,38,15,13,10,48,37,11,58,ligue1,2022
FC Lorient,38,15,10,13,52,53,-1,55,ligue1,2022
Stade Reims,38,12,15,11,45,45,0,51,ligue1,2022
Montpellier,38,15,5,18,65,62,3,50,ligue1,2022
Toulouse,38,13,9,16,51,57,-6,48,ligue1,2022
Stade Brestois,38,11,11,16,44,54,-10,44,ligue1,2022
R. Strasbourg,38,9,13,16,51,59,-8,40,ligue1,2022
FC Nantes,38,7,15,16,37,55,-18,36,ligue1,2022
AJ Auxerre,38,8,11,19,35,63,-28,35,ligue1,2022
AC Ajaccio,38,7,5,26,23,74,-51,26,ligue1,2022
Troyes,38,4,12,22,45,81,-36,24,ligue1,2022
Angers SCO,38,4,6,28,33,81,-48,18,ligue1,2022
Paris SG,34,22,10,2,81,33,48,76,ligue1,2023
Monaco,34,20,7,7,68,42,26,67,ligue1,2023
Stade Brestois,34,17,10,7,53,34,19,61,ligue1,2023
LOSC Lille,34,16,11,7,52,34,18,59,ligue1,2023
OGC Nice,34,15,10,9,40,29,11,55,ligue1,2023
Olympique Lyon,34,16,5,13,49,55,-6,53,ligue1,2023
Lens,34,14,9,11,45,37,8,51,ligue1,2023
Marseille,34,13,11,10,52,41,11,50,ligue1,2023
Stade Reims,34,13,8,13,42,47,-5,47,ligue1,2023
Stade Rennais,34,12,10,12,53,46,7,46,ligue1,2023
Toulouse,34,11,10,13,42,46,-4,43,ligue1,2023
Montpellier,34,10,12,12,43,48,-5,41,ligue1,2023
R. Strasbourg,34,10,9,15,38,50,-12,39,ligue1,2023
FC Nantes,34,9,6,19,30,55,-25,33,ligue1,2023
Le Havre AC,34,7,11,16,34,45,-11,32,ligue1,2023
FC Metz,34,8,5,21,35,58,-23,29,ligue1,2023
FC Lorient,34,7,8,19,43,66,-23,29,ligue1,2023
Clermont Foot,34,5,10,19,26,60,-34,25,ligue1,2023
Paris SG,28,23,5,0,80,26,54,74,ligue1,2024
Monaco,29,16,5,8,57,35,22,53,ligue1,2024
Marseille,29,16,4,9,57,41,16,52,ligue1,2024
Olympique Lyon,29,15,6,8,57,39,18,51,ligue1,2024
LOSC Lille,29,14,8,7,44,31,13,50,ligue1,2024
R. Strasbourg,29,14,8,7,48,37,11,50,ligue1,2024
OGC Nice,29,13,9,7,54,37,17,48,ligue1,2024
Stade Brestois,29,13,5,11,47,46,1,44,ligue1,2024
Lens,29,12,6,11,32,32,0,42,ligue1,2024
AJ Auxerre,29,10,8,11,40,42,-2,38,ligue1,2024
Stade Rennais,29,11,2,16,43,39,4,35,ligue1,2024
Toulouse,29,9,7,13,38,38,0,34,ligue1,2024
FC Nantes,28,7,9,12,33,47,-14,30,ligue1,2024
Angers SCO,29,8,6,15,28,46,-18,30,ligue1,2024
Stade Reims,29,7,8,14,31,42,-11,29,ligue1,2024
Le Havre AC,29,8,3,18,32,62,-30,27,ligue1,2024
Saint-Étienne,29,6,6,17,31,67,-36,24,ligue1,2024
Montpellier,29,4,3,22,21,66,-45,15,ligue1,2024
